"filename", "language", "JavaScript", "JSON", "Markdown", "JavaScript JSX", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\config\redis.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 4, 8
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\config\socket.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 9, 34
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\controllers\client\auth.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 11, 57
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\controllers\client\bid.js", "JavaScript", 313, 0, 0, 0, 0, 0, 0, 4, 40, 357
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\controllers\client\index.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\controllers\client\journey.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 1, 4, 23
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\controllers\client\meta.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\controllers\client\quote.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 2, 16, 87
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\controllers\client\trustedTransporters.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 12, 65
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\controllers\common\checkExistingAccount.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\controllers\common\loginWithOTP.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 16, 75
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\controllers\common\loginWithPassword.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 15, 74
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\controllers\common\requestOTP.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 10, 39
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\controllers\common\setAuthCookie.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\controllers\transporter\auth.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 4, 11, 63
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\controllers\transporter\bid.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 0, 14, 133
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\controllers\transporter\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\controllers\transporter\quote.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 14, 74
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\controllers\transporter\upload.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 2, 10, 63
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\controllers\trip\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\controllers\trip\trip.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 0, 27, 143
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\data\cities.json", "JSON", 0, 4089, 0, 0, 0, 0, 0, 0, 1, 4090
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\formDataValidate\client\createBid.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 8, 41
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\formDataValidate\client\signUp.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\formDataValidate\login\OTPLogin.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\formDataValidate\login\passwordLogin.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\formDataValidate\login\requestOTP.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\formDataValidate\transporter\postDetails.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\formDataValidate\transporter\signUp.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 8, 41
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\index.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 8, 15, 70
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\middleware\attachUserIfLoggedIn.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\middleware\errorHandler.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\middleware\formDataValidator.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\middleware\handleTransportDetailsUpload.js.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\middleware\roleAndAuthCheck.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\middleware\verifyTripToken.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\model\bid.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 12, 20, 113
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\model\bidInvitation.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
